id_pedido,produto,categoria,quantidade,valor_unitario,forma_pagamento,regiao,cep_cliente,data_pedido,valor_total
1271,Luminária de Mesa,Casa e Decoração,2,89.9,Pix,Norte,04619654,2024-01-17,179.8
1194,Livro - O Poder do Hábito,Livros,2,39.9,Cartão de Crédito,Sudeste,01104422,2024-01-18,79.8
1212,Mochila Executiva,Moda,2,159.9,Pix,Norte,02392111,2024-01-19,319.8
1029,Luminária de Mesa,Casa e Decoração,2,89.9,Boleto,Centro-Oeste,03088042,2024-01-19,179.8
1378,Livro - Hábitos Atômicos,Livros,2,44.9,Cartão de Débito,Norte,09536293,2024-01-20,89.8
1541,Livro - Hábitos Atômicos,Livros,2,44.9,Boleto,Norte,02097574,2024-01-21,89.8
1149,Carregador Portátil,Eletrônicos,2,79.9,Cartão de Crédito,Sudeste,01744971,2024-01-22,159.8
1052,Livro - O Poder do Hábito,Livros,2,39.9,Cartão de Débito,Nordeste,02129518,2024-01-22,79.8
1520,Fone de Ouvido Bluetooth,Eletrônicos,3,129.9,Boleto,Norte,08509962,2024-01-22,389.7
1109,Livro - Hábitos Atômicos,Livros,2,44.9,Cartão de Débito,Sudeste,06129589,2024-01-22,89.8
1199,Livro - Hábitos Atômicos,Livros,2,44.9,Cartão de Débito,Nordeste,01762946,2024-01-22,89.8
1367,Mochila Executiva,Moda,1,159.9,Boleto,Sul,09399040,2024-01-23,159.9
1624,Carregador Portátil,Eletrônicos,1,79.9,Cartão de Débito,Nordeste,03118216,2024-01-23,79.9
1040,Tênis de Corrida,Esporte,1,259.9,Cartão de Débito,Norte,02193466,2024-01-24,259.9
1317,Mochila Executiva,Moda,1,159.9,Boleto,Sul,06384366,2024-01-24,159.9
1022,Luminária de Mesa,Casa e Decoração,1,89.9,Boleto,Sudeste,09320082,2024-01-26,89.9
1461,Carregador Portátil,Eletrônicos,1,79.9,Cartão de Crédito,Nordeste,01601148,2024-01-26,79.9
1249,Smartwatch Fit,Eletrônicos,3,349.9,Cartão de Crédito,Centro-Oeste,02129898,2024-01-27,1049.7
1337,Livro - O Poder do Hábito,Livros,2,39.9,Pix,Sul,08259849,2024-01-28,79.8
1319,Smartwatch Fit,Eletrônicos,3,349.9,Boleto,Sudeste,07816933,2024-01-31,1049.7
1195,Tênis de Corrida,Esporte,1,259.9,Cartão de Débito,Centro-Oeste,01257006,2024-01-31,259.9
1045,Bicicleta Ergométrica,Esporte,2,899.9,Cartão de Débito,Centro-Oeste,01320877,2024-02-01,1799.8
1185,Mochila Executiva,Moda,1,159.9,Boleto,Centro-Oeste,09120048,2024-02-01,159.9
1009,Livro - O Poder do Hábito,Livros,2,39.9,Cartão de Débito,Norte,05119994,2024-02-02,79.8
1472,Livro - O Poder do Hábito,Livros,1,39.9,Pix,Sudeste,06556384,2024-02-03,39.9
1307,Carregador Portátil,Eletrônicos,1,79.9,Pix,Nordeste,08469745,2024-02-03,79.9
1463,Smartwatch Fit,Eletrônicos,2,349.9,Boleto,Sudeste,05496337,2024-02-03,699.8
1452,Tênis de Corrida,Esporte,1,259.9,Cartão de Débito,Norte,09027704,2024-02-03,259.9
1384,Cafeteira Elétrica,Casa e Decoração,1,219.9,Boleto,Sul,06172422,2024-02-04,219.9
1016,Livro - O Poder do Hábito,Livros,1,39.9,Pix,Sudeste,09423243,2024-02-04,39.9
1590,Carregador Portátil,Eletrônicos,1,79.9,Cartão de Débito,Centro-Oeste,04436355,2024-02-04,79.9
1408,Jogo de Panelas,Casa e Decoração,1,189.9,Pix,Sudeste,08460632,2024-02-05,189.9
1347,Camiseta Básica,Moda,2,49.9,Boleto,Nordeste,,2024-02-06,99.8
1480,Carregador Portátil,Eletrônicos,1,79.9,Pix,Norte,08268051,2024-02-06,79.9
1346,Camiseta Básica,Moda,2,49.9,Boleto,Nordeste,07678397,2024-02-06,99.8
1539,Cafeteira Elétrica,Casa e Decoração,3,219.9,Pix,Norte,01535303,2024-02-06,659.7
1061,Smartwatch Fit,Eletrônicos,2,349.9,Cartão de Crédito,Sul,03444830,2024-02-07,699.8
1275,Mochila Executiva,Moda,3,159.9,Cartão de Crédito,Nordeste,08909721,2024-02-08,479.7
1630,Jogo de Panelas,Casa e Decoração,2,189.9,Cartão de Crédito,Norte,07961422,2024-02-09,379.8
1004,Fone de Ouvido Bluetooth,Eletrônicos,1,129.9,Cartão de Crédito,Centro-Oeste,05554464,2024-02-10,129.9
1118,Livro - O Poder do Hábito,Livros,1,39.9,Boleto,Nordeste,06082990,2024-02-11,39.9
1540,Carregador Portátil,Eletrônicos,3,79.9,Pix,Sudeste,09433968,2024-02-11,239.7
1609,Livro - Hábitos Atômicos,Livros,1,44.9,Boleto,Centro-Oeste,,2024-02-13,44.9
1608,Livro - Hábitos Atômicos,Livros,1,44.9,Boleto,Centro-Oeste,07182967,2024-02-13,44.9
1349,Livro - O Poder do Hábito,Livros,2,39.9,Cartão de Débito,Centro-Oeste,07473841,2024-02-14,79.8
1145,Bicicleta Ergométrica,Esporte,2,899.9,Cartão de Débito,Centro-Oeste,09612420,2024-02-14,1799.8
1079,Jogo de Panelas,Casa e Decoração,3,189.9,Cartão de Crédito,Sudeste,08269170,2024-02-16,569.7
1072,Fone de Ouvido Bluetooth,Eletrônicos,2,129.9,Cartão de Crédito,Centro-Oeste,02924663,2024-02-17,259.8
1260,Livro - O Poder do Hábito,Livros,1,39.9,Pix,Sudeste,01699964,2024-02-17,39.9
1173,Smartwatch Fit,Eletrônicos,3,349.9,Boleto,Centro-Oeste,06301958,2024-02-18,1049.7
1100,Mochila Executiva,Moda,3,159.9,Pix,Nordeste,07132976,2024-02-18,479.7
1157,Carregador Portátil,Eletrônicos,1,79.9,Pix,Norte,06990773,2024-02-19,79.9
1063,Jogo de Panelas,Casa e Decoração,2,189.9,Boleto,Sul,05335676,2024-02-20,379.8
1112,Luminária de Mesa,Casa e Decoração,1,89.9,Boleto,Sul,03504778,2024-02-22,89.9
1410,Bicicleta Ergométrica,Esporte,1,899.9,Boleto,Centro-Oeste,01134238,2024-02-22,899.9
1296,Carregador Portátil,Eletrônicos,2,79.9,Pix,Norte,05631305,2024-02-22,159.8
1374,Livro - Hábitos Atômicos,Livros,1,44.9,Pix,Nordeste,09783433,2024-02-24,44.9
1328,Jogo de Panelas,Casa e Decoração,3,189.9,Boleto,Centro-Oeste,03301841,2024-02-24,569.7
1256,Carregador Portátil,Eletrônicos,1,79.9,Cartão de Débito,Nordeste,07660123,2024-02-24,79.9
1094,Camiseta Básica,Moda,1,49.9,Cartão de Crédito,Sul,01243366,2024-02-26,49.9
1095,Camiseta Básica,Moda,1,49.9,Não informado,Sul,01243366,2024-02-26,49.9
1161,Fone de Ouvido Bluetooth,Eletrônicos,3,129.9,Cartão de Débito,Nordeste,07861155,2024-02-26,389.7
1177,Livro - Hábitos Atômicos,Livros,2,44.9,Boleto,Norte,09792153,2024-02-27,89.8
1065,Jogo de Panelas,Casa e Decoração,2,189.9,Boleto,Nordeste,03330073,2024-02-28,379.8
1620,Camiseta Básica,Moda,2,49.9,Cartão de Débito,Sudeste,08233365,2024-02-29,99.8
1220,Livro - O Poder do Hábito,Livros,1,39.9,Cartão de Crédito,Sul,07116710,2024-03-01,39.9
1568,Livro - O Poder do Hábito,Livros,2,39.9,Cartão de Crédito,Sudeste,05942683,2024-03-01,79.8
1175,Livro - O Poder do Hábito,Livros,3,39.9,Pix,Nordeste,04618224,2024-03-01,119.7
1509,Tênis de Corrida,Esporte,3,259.9,Boleto,Centro-Oeste,04027917,2024-03-02,779.7
1523,Livro - Hábitos Atômicos,Livros,1,44.9,Boleto,Nordeste,04493782,2024-03-02,44.9
1058,Luminária de Mesa,Casa e Decoração,1,89.9,Boleto,Sul,04545756,2024-03-02,89.9
1457,Livro - Hábitos Atômicos,Livros,3,44.9,Cartão de Débito,Nordeste,02397536,2024-03-04,134.7
1003,Luminária de Mesa,Casa e Decoração,2,89.9,Cartão de Débito,Sudeste,05803849,2024-03-04,179.8
1291,Cafeteira Elétrica,Casa e Decoração,3,219.9,Boleto,Nordeste,09008608,2024-03-04,659.7
1047,Mochila Executiva,Moda,2,159.9,Cartão de Crédito,Centro-Oeste,01444085,2024-03-06,319.8
1305,Camiseta Básica,Moda,1,49.9,Cartão de Débito,Centro-Oeste,08029988,2024-03-07,49.9
1321,Livro - Hábitos Atômicos,Livros,3,44.9,Cartão de Débito,Sudeste,,2024-03-07,134.7
1320,Livro - Hábitos Atômicos,Livros,3,44.9,Cartão de Débito,Sudeste,07738451,2024-03-07,134.7
1333,Jogo de Panelas,Casa e Decoração,3,189.9,Boleto,Norte,09888710,2024-03-08,569.7
1233,Mochila Executiva,Moda,3,159.9,Pix,Sul,05489095,2024-03-08,479.7
1288,Luminária de Mesa,Casa e Decoração,1,89.9,Cartão de Débito,Nordeste,05414746,2024-03-09,89.9
1595,Tênis de Corrida,Esporte,1,259.9,Pix,Norte,03883659,2024-03-10,259.9
1332,Jogo de Panelas,Casa e Decoração,1,189.9,Pix,Norte,06143728,2024-03-11,189.9
1162,Cafeteira Elétrica,Casa e Decoração,3,219.9,Pix,Centro-Oeste,09609385,2024-03-11,659.7
1128,Luminária de Mesa,Casa e Decoração,1,89.9,Cartão de Débito,Sul,08685459,2024-03-11,89.9
1357,Livro - O Poder do Hábito,Livros,1,39.9,Boleto,Nordeste,02252744,2024-03-12,39.9
1360,Carregador Portátil,Eletrônicos,2,79.9,Boleto,Norte,03395753,2024-03-12,159.8
1365,Carregador Portátil,Eletrônicos,2,79.9,Boleto,Sudeste,09430658,2024-03-12,159.8
1201,Livro - O Poder do Hábito,Livros,2,39.9,Cartão de Crédito,Norte,06666054,2024-03-12,79.8
1521,Smartwatch Fit,Eletrônicos,3,349.9,Cartão de Crédito,Centro-Oeste,01750248,2024-03-13,1049.7
1575,Livro - O Poder do Hábito,Livros,1,39.9,Cartão de Crédito,Sul,02060372,2024-03-14,39.9
1526,Cafeteira Elétrica,Casa e Decoração,1,219.9,Cartão de Débito,Centro-Oeste,04919960,2024-03-14,219.9
1437,Livro - Hábitos Atômicos,Livros,2,44.9,Boleto,Sul,07124159,2024-03-15,89.8
1447,Luminária de Mesa,Casa e Decoração,2,89.9,Boleto,Nordeste,02111570,2024-03-15,179.8
1594,Mochila Executiva,Moda,1,159.9,Boleto,Nordeste,08604497,2024-03-17,159.9
1513,Fone de Ouvido Bluetooth,Eletrônicos,1,129.9,Cartão de Débito,Norte,01060527,2024-03-18,129.9
1192,Luminária de Mesa,Casa e Decoração,1,89.9,Boleto,Centro-Oeste,05026511,2024-03-19,89.9
1277,Carregador Portátil,Eletrônicos,2,79.9,Cartão de Crédito,Centro-Oeste,02435301,2024-03-19,159.8
1002,Mochila Executiva,Moda,1,159.9,Pix,Sudeste,02519389,2024-03-20,159.9
1341,Bicicleta Ergométrica,Esporte,2,899.9,Cartão de Débito,Sudeste,06724226,2024-03-22,1799.8
1153,Mochila Executiva,Moda,1,159.9,Pix,Sul,03610510,2024-03-22,159.9
1462,Smartwatch Fit,Eletrônicos,1,349.9,Boleto,Centro-Oeste,06901953,2024-03-23,349.9
1339,Bicicleta Ergométrica,Esporte,1,899.9,Pix,Sudeste,06415477,2024-03-23,899.9
1604,Livro - Hábitos Atômicos,Livros,1,44.9,Cartão de Crédito,Nordeste,07895616,2024-03-23,44.9
1548,Livro - Hábitos Atômicos,Livros,2,44.9,Boleto,Norte,05673186,2024-03-26,89.8
1272,Tênis de Corrida,Esporte,1,259.9,Cartão de Crédito,Nordeste,08317011,2024-03-26,259.9
1455,Jogo de Panelas,Casa e Decoração,2,189.9,Cartão de Crédito,Norte,03330474,2024-03-26,379.8
1020,Fone de Ouvido Bluetooth,Eletrônicos,1,129.9,Cartão de Débito,Sul,07570924,2024-03-26,129.9
1500,Fone de Ouvido Bluetooth,Eletrônicos,2,129.9,Pix,Norte,01447293,2024-03-27,259.8
1193,Luminária de Mesa,Casa e Decoração,2,89.9,Pix,Sul,03293737,2024-03-27,179.8
1039,Tênis de Corrida,Esporte,3,259.9,Pix,Norte,06491095,2024-03-27,779.7
1431,Smartwatch Fit,Eletrônicos,2,349.9,Cartão de Crédito,Norte,05921038,2024-03-29,699.8
1566,Carregador Portátil,Eletrônicos,1,79.9,Cartão de Crédito,Sudeste,04643131,2024-03-29,79.9
1258,Fone de Ouvido Bluetooth,Eletrônicos,1,129.9,Cartão de Débito,Centro-Oeste,05093096,2024-03-30,129.9
1268,Camiseta Básica,Moda,3,49.9,Pix,Sudeste,01359151,2024-03-31,149.7
1266,Mochila Executiva,Moda,1,159.9,Pix,Nordeste,01462720,2024-03-31,159.9
1059,Jogo de Panelas,Casa e Decoração,1,189.9,Boleto,Nordeste,01745997,2024-04-01,189.9
1616,Camiseta Básica,Moda,2,49.9,Cartão de Débito,Nordeste,08669135,2024-04-01,99.8
1422,Smartwatch Fit,Eletrônicos,1,349.9,Boleto,Sudeste,08952196,2024-04-01,349.9
1511,Fone de Ouvido Bluetooth,Eletrônicos,1,129.9,Cartão de Débito,Sul,07432182,2024-04-01,129.9
1264,Livro - Hábitos Atômicos,Livros,1,44.9,Boleto,Sudeste,05602059,2024-04-02,44.9
1412,Smartwatch Fit,Eletrônicos,2,349.9,Pix,Centro-Oeste,01206124,2024-04-02,699.8
1459,Cafeteira Elétrica,Casa e Decoração,3,219.9,Boleto,Sul,01057637,2024-04-02,659.7
1353,Jogo de Panelas,Casa e Decoração,1,189.9,Cartão de Crédito,Norte,08557660,2024-04-02,189.9
1134,Luminária de Mesa,Casa e Decoração,3,89.9,Cartão de Crédito,Centro-Oeste,01605300,2024-04-03,269.7
1019,Cafeteira Elétrica,Casa e Decoração,2,219.9,Boleto,Sudeste,08260827,2024-04-03,439.8
1369,Mochila Executiva,Moda,2,159.9,Pix,Sul,06614944,2024-04-03,319.8
1400,Cafeteira Elétrica,Casa e Decoração,1,219.9,Boleto,Sul,05122963,2024-04-04,219.9
1172,Livro - O Poder do Hábito,Livros,3,39.9,Pix,Nordeste,04164179,2024-04-05,119.7
1546,Luminária de Mesa,Casa e Decoração,1,89.9,Boleto,Norte,06503421,2024-04-06,89.9
1188,Smartwatch Fit,Eletrônicos,3,349.9,Cartão de Débito,Norte,01647894,2024-04-07,1049.7
1283,Camiseta Básica,Moda,1,49.9,Cartão de Débito,Sudeste,08133206,2024-04-08,49.9
1290,Carregador Portátil,Eletrônicos,1,79.9,Boleto,Sudeste,05087033,2024-04-08,79.9
1338,Carregador Portátil,Eletrônicos,3,79.9,Boleto,Sudeste,04063985,2024-04-09,239.7
1001,Bicicleta Ergométrica,Esporte,2,899.9,Cartão de Débito,Sul,08359603,2024-04-11,1799.8
1435,Camiseta Básica,Moda,2,49.9,Boleto,Norte,09589252,2024-04-11,99.8
1478,Livro - O Poder do Hábito,Livros,1,39.9,Pix,Norte,06228791,2024-04-12,39.9
1386,Luminária de Mesa,Casa e Decoração,2,89.9,Boleto,Nordeste,04387234,2024-04-12,179.8
1579,Bicicleta Ergométrica,Esporte,2,899.9,Cartão de Débito,Centro-Oeste,09270267,2024-04-13,1799.8
1580,Bicicleta Ergométrica,Esporte,2,899.9,Não informado,Centro-Oeste,09270267,2024-04-13,1799.8
1166,Jogo de Panelas,Casa e Decoração,1,189.9,Pix,Norte,05450140,2024-04-13,189.9
1545,Camiseta Básica,Moda,1,49.9,Cartão de Crédito,Nordeste,07824992,2024-04-14,49.9
1191,Luminária de Mesa,Casa e Decoração,1,89.9,Cartão de Débito,Sudeste,04625759,2024-04-14,89.9
1183,Carregador Portátil,Eletrônicos,1,79.9,Cartão de Crédito,Centro-Oeste,01797250,2024-04-15,79.9
1276,Fone de Ouvido Bluetooth,Eletrônicos,1,129.9,Cartão de Débito,Norte,09849271,2024-04-15,129.9
1253,Mochila Executiva,Moda,1,159.9,Boleto,Centro-Oeste,09061984,2024-04-15,159.9
1345,Tênis de Corrida,Esporte,1,259.9,Cartão de Débito,Sudeste,03519024,2024-04-15,259.9
1467,Cafeteira Elétrica,Casa e Decoração,3,219.9,Cartão de Débito,Centro-Oeste,01745341,2024-04-16,659.7
1164,Jogo de Panelas,Casa e Decoração,3,189.9,Cartão de Débito,Nordeste,08861357,2024-04-16,569.7
1392,Camiseta Básica,Moda,2,49.9,Pix,Nordeste,07563286,2024-04-17,99.8
1352,Mochila Executiva,Moda,1,159.9,Pix,Sul,07760927,2024-04-17,159.9
1231,Mochila Executiva,Moda,2,159.9,Pix,Nordeste,06533560,2024-04-18,319.8
1614,Livro - Hábitos Atômicos,Livros,3,44.9,Cartão de Débito,Norte,05198074,2024-04-18,134.7
1048,Jogo de Panelas,Casa e Decoração,1,189.9,Pix,Centro-Oeste,05558770,2024-04-18,189.9
1189,Livro - Hábitos Atômicos,Livros,1,44.9,Cartão de Crédito,Centro-Oeste,04974712,2024-04-18,44.9
1329,Tênis de Corrida,Esporte,2,259.9,Boleto,Nordeste,02765775,2024-04-20,519.8
1050,Cafeteira Elétrica,Casa e Decoração,2,219.9,Pix,Nordeste,03749620,2024-04-21,439.8
1598,Mochila Executiva,Moda,2,159.9,Boleto,Sul,05498450,2024-04-21,319.8
1407,Luminária de Mesa,Casa e Decoração,2,89.9,Cartão de Débito,Sul,09464782,2024-04-22,179.8
1508,Smartwatch Fit,Eletrônicos,1,349.9,Pix,Sul,01557024,2024-04-22,349.9
1008,Carregador Portátil,Eletrônicos,1,79.9,Boleto,Norte,09085093,2024-04-22,79.9
1429,Jogo de Panelas,Casa e Decoração,1,189.9,Pix,Sudeste,05521941,2024-04-23,189.9
1300,Carregador Portátil,Eletrônicos,1,79.9,Cartão de Débito,Nordeste,09311307,2024-04-23,79.9
1514,Luminária de Mesa,Casa e Decoração,2,89.9,Cartão de Débito,Sudeste,09770957,2024-04-25,179.8
1366,Luminária de Mesa,Casa e Decoração,3,89.9,Pix,Sudeste,08889691,2024-04-27,269.7
1376,Camiseta Básica,Moda,3,49.9,Boleto,Sudeste,04513520,2024-04-27,149.7
1425,Bicicleta Ergométrica,Esporte,1,899.9,Boleto,Sul,09621672,2024-04-28,899.9
1167,Bicicleta Ergométrica,Esporte,3,899.9,Cartão de Débito,Nordeste,08739102,2024-04-29,2699.7
1502,Camiseta Básica,Moda,3,49.9,Cartão de Crédito,Nordeste,02382990,2024-04-30,149.7
1315,Tênis de Corrida,Esporte,1,259.9,Cartão de Crédito,Sudeste,09095152,2024-04-30,259.9
1282,Bicicleta Ergométrica,Esporte,2,899.9,Cartão de Crédito,Centro-Oeste,01568514,2024-04-30,1799.8
1012,Smartwatch Fit,Eletrônicos,1,349.9,Cartão de Crédito,Sudeste,08962835,2024-05-02,349.9
1216,Smartwatch Fit,Eletrônicos,3,349.9,Boleto,Nordeste,07985981,2024-05-04,1049.7
1017,Carregador Portátil,Eletrônicos,2,79.9,Cartão de Débito,Sul,02545099,2024-05-04,159.8
1443,Cafeteira Elétrica,Casa e Decoração,1,219.9,Pix,Nordeste,09027402,2024-05-06,219.9
1402,Mochila Executiva,Moda,1,159.9,Cartão de Débito,Sul,03150539,2024-05-06,159.9
1043,Cafeteira Elétrica,Casa e Decoração,1,219.9,Pix,Norte,08939641,2024-05-06,219.9
1265,Tênis de Corrida,Esporte,1,259.9,Pix,Norte,01916782,2024-05-06,259.9
1067,Luminária de Mesa,Casa e Decoração,2,89.9,Boleto,Norte,01339783,2024-05-08,179.8
1207,Cafeteira Elétrica,Casa e Decoração,1,219.9,Cartão de Débito,Norte,04203468,2024-05-08,219.9
1179,Jogo de Panelas,Casa e Decoração,2,189.9,Boleto,Norte,02196046,2024-05-10,379.8
1428,Tênis de Corrida,Esporte,2,259.9,Cartão de Débito,Centro-Oeste,07505000,2024-05-10,519.8
1373,Carregador Portátil,Eletrônicos,2,79.9,Cartão de Crédito,Norte,09561120,2024-05-11,159.8
1512,Tênis de Corrida,Esporte,2,259.9,Cartão de Crédito,Sudeste,05105795,2024-05-12,519.8
1297,Livro - O Poder do Hábito,Livros,1,39.9,Pix,Sul,03456529,2024-05-13,39.9
1549,Livro - Hábitos Atômicos,Livros,2,44.9,Boleto,Norte,01568681,2024-05-13,89.8
1613,Camiseta Básica,Moda,1,49.9,Cartão de Débito,Sul,07056596,2024-05-14,49.9
1583,Bicicleta Ergométrica,Esporte,2,899.9,Cartão de Débito,Norte,06779784,2024-05-14,1799.8
1024,Luminária de Mesa,Casa e Decoração,1,89.9,Pix,Centro-Oeste,06180951,2024-05-15,89.9
1632,Livro - O Poder do Hábito,Livros,2,39.9,Boleto,Sul,04032080,2024-05-15,79.8
1074,Mochila Executiva,Moda,2,159.9,Pix,Nordeste,09022886,2024-05-16,319.8
1071,Cafeteira Elétrica,Casa e Decoração,1,219.9,Pix,Centro-Oeste,08941124,2024-05-16,219.9
1506,Jogo de Panelas,Casa e Decoração,1,189.9,Pix,Norte,07408472,2024-05-16,189.9
1000,Livro - O Poder do Hábito,Livros,1,39.9,Boleto,Sudeste,09935089,2024-05-20,39.9
1388,Livro - Hábitos Atômicos,Livros,2,44.9,Pix,Centro-Oeste,04638768,2024-05-20,89.8
1092,Livro - Hábitos Atômicos,Livros,2,44.9,Cartão de Crédito,Centro-Oeste,02501678,2024-05-21,89.8
1577,Mochila Executiva,Moda,2,159.9,Cartão de Débito,Sudeste,03001256,2024-05-22,319.8
1103,Bicicleta Ergométrica,Esporte,1,899.9,Cartão de Débito,Norte,01430623,2024-05-22,899.9
1617,Fone de Ouvido Bluetooth,Eletrônicos,2,129.9,Cartão de Débito,Nordeste,05312627,2024-05-23,259.8
1124,Livro - O Poder do Hábito,Livros,2,39.9,Cartão de Débito,Sul,04271820,2024-05-24,79.8
1626,Camiseta Básica,Moda,2,49.9,Boleto,Sudeste,05891502,2024-05-25,99.8
1171,Carregador Portátil,Eletrônicos,1,79.9,Cartão de Débito,Sul,09261479,2024-05-25,79.9
1180,Smartwatch Fit,Eletrônicos,1,349.9,Boleto,Centro-Oeste,07135912,2024-05-26,349.9
1335,Tênis de Corrida,Esporte,1,259.9,Boleto,Sudeste,05835208,2024-05-26,259.9
1398,Smartwatch Fit,Eletrônicos,2,349.9,Boleto,Sul,06527431,2024-05-26,699.8
1589,Smartwatch Fit,Eletrônicos,1,349.9,Pix,Norte,07586823,2024-05-27,349.9
1129,Camiseta Básica,Moda,1,49.9,Cartão de Crédito,Sudeste,04906429,2024-05-27,49.9
1359,Mochila Executiva,Moda,2,159.9,Cartão de Crédito,Centro-Oeste,06961514,2024-05-28,319.8
1184,Fone de Ouvido Bluetooth,Eletrônicos,2,129.9,Pix,Norte,06253242,2024-05-28,259.8
1562,Livro - Hábitos Atômicos,Livros,1,44.9,Cartão de Crédito,Norte,04175784,2024-05-29,44.9
1255,Mochila Executiva,Moda,1,159.9,Pix,Centro-Oeste,06345325,2024-05-29,159.9
1302,Livro - Hábitos Atômicos,Livros,2,44.9,Cartão de Crédito,Centro-Oeste,01879887,2024-05-30,89.8
1350,Luminária de Mesa,Casa e Decoração,2,89.9,Boleto,Nordeste,07113980,2024-05-31,179.8
1351,Luminária de Mesa,Casa e Decoração,2,89.9,Boleto,Nordeste,,2024-05-31,179.8
1083,Mochila Executiva,Moda,2,159.9,Pix,Sudeste,07484281,2024-05-31,319.8
1316,Jogo de Panelas,Casa e Decoração,2,189.9,Cartão de Crédito,Sudeste,03862895,2024-05-31,379.8
1596,Smartwatch Fit,Eletrônicos,2,349.9,Cartão de Débito,Nordeste,02479406,2024-06-01,699.8
1011,Bicicleta Ergométrica,Esporte,3,899.9,Boleto,Sul,07126780,2024-06-01,2699.7
1303,Smartwatch Fit,Eletrônicos,2,349.9,Boleto,Sul,04281350,2024-06-01,699.8
1236,Smartwatch Fit,Eletrônicos,1,349.9,Boleto,Sul,02120543,2024-06-02,349.9
1082,Cafeteira Elétrica,Casa e Decoração,2,219.9,Cartão de Débito,Nordeste,08484865,2024-06-02,439.8
1186,Mochila Executiva,Moda,1,159.9,Cartão de Débito,Sul,04692307,2024-06-02,159.9
1558,Jogo de Panelas,Casa e Decoração,1,189.9,Pix,Centro-Oeste,08593229,2024-06-03,189.9
1474,Jogo de Panelas,Casa e Decoração,2,189.9,Pix,Sudeste,04311935,2024-06-03,379.8
1527,Carregador Portátil,Eletrônicos,3,79.9,Cartão de Crédito,Norte,04860196,2024-06-03,239.7
1563,Livro - Hábitos Atômicos,Livros,3,44.9,Pix,Sudeste,09755593,2024-06-03,134.7
1089,Smartwatch Fit,Eletrônicos,3,349.9,Cartão de Crédito,Sul,01742968,2024-06-03,1049.7
1547,Bicicleta Ergométrica,Esporte,2,899.9,Pix,Sul,05259232,2024-06-04,1799.8
1147,Smartwatch Fit,Eletrônicos,1,349.9,Pix,Sul,06669970,2024-06-04,349.9
1204,Smartwatch Fit,Eletrônicos,1,349.9,Pix,Sudeste,03170089,2024-06-06,349.9
1555,Jogo de Panelas,Casa e Decoração,1,189.9,Cartão de Crédito,Sul,08278759,2024-06-06,189.9
1468,Jogo de Panelas,Casa e Decoração,1,189.9,Pix,Sudeste,02865702,2024-06-06,189.9
1037,Smartwatch Fit,Eletrônicos,2,349.9,Pix,Centro-Oeste,05844567,2024-06-07,699.8
1477,Luminária de Mesa,Casa e Decoração,1,89.9,Cartão de Crédito,Nordeste,08649910,2024-06-08,89.9
1399,Camiseta Básica,Moda,1,49.9,Pix,Nordeste,07479277,2024-06-09,49.9
