id_pedido,produto,categoria,quantidade,valor_unitario,forma_pagamento,regiao,cep_cliente,data_pedido
1370,Smartwatch Fit,Eletrônicos,1,349.90,Cartão de Débito,Sul,2577181,24/09/2024
1123,Livro - Hábitos Atômicos,livros,2,"R$ 44,90",Cartão de Débito,Sul,9749244,08/11/24
1088,Livro - Hábitos Atômicos, Livros,2,44.90,Pix,Sudeste,4830482,14-07-2024
1353,Jogo de Panelas,casa e decoracao,1,189.90,Cartão de Crédito,Norte,8557660,02-04-2024
1480,Carregador Portátil,eletronicos,1,"R$ 79,90",Pix,Norte,8268051,06/02/24
1311,Smartwatch Fit,Eletrônicos,1,"R$ 349,90",Cartão de Débito,Centro-Oeste,3024560,2024-12-19
1243,Bicicleta Ergométrica,esporte,1,"R$ 899,90",Cartão de Crédito,Nordeste,8167747,2024-10-01
1134,Luminária de Mesa,CASA E DECORAÇÃO,3,89.90,Cartão de Crédito,Centro-Oeste,1605300,2024-04-03
1025,Carregador Portátil,Eletrônicos,1,"R$ 79,90",Pix,Sul,6718902,2024-10-02
1042,Smartwatch Fit,ELETRÔNICOS,1,349.90,Pix,Centro-Oeste,9270436,25/08/24
1457,Livro - Hábitos Atômicos,livros,3,"R$ 44,90",Cartão de Débito,Nordeste,2397536,2024-03-04
1413,Tênis de Corrida,Esporte,1,259.90,Cartão de Crédito,Norte,4415484,23-08-2024
1037,Smartwatch Fit, Eletrônicos ,2,349.90,Pix,Centro-Oeste,5844567,07/06/24
1465,Carregador Portátil, Eletrônicos ,1,79.90,Cartão de Débito,Centro-Oeste,3947904,10-11-2024
1315,Tênis de Corrida,ESPORTE,1,"R$ 259,90",Cartão de Crédito,Sudeste,9095152,30/04/2024
1132,Livro - O Poder do Hábito,Livros,2,,Cartão de Crédito,Centro-Oeste,8702044,03-07-2024
1515,Livro - O Poder do Hábito,Livros,1,39.90,Pix,Sudeste,8530778,2024-09-30
1309,Camiseta Básica, Moda,2,49.90,Boleto,Centro-Oeste,,2024-07-02
1560,Cafeteira Elétrica,Casa e Decoração,2,219.90,Cartão de Débito,Nordeste,8799997,04/07/2024
1137,Smartwatch Fit,ELETRÔNICOS,1,349.90,Boleto,Norte,5813328,08-08-2024
1113,Cafeteira Elétrica,CASA E DECORAÇÃO,2,219.90,Pix,Nordeste,3473450,23/10/24
1287,Livro - Hábitos Atômicos,livros,1,44.90,Pix,Sudeste,6535837,31-08-2024
1375,Tênis de Corrida,ESPORTE,2,259.90,Pix,Norte,8925259,12-10-2024
1589,Smartwatch Fit,Eletronicos,1,"R$ 349,90",Pix,Norte,7586823,27/05/2024
1563,Livro - Hábitos Atômicos, Livros,3,"R$ 44,90",Pix,Sudeste,9755593,2024-06-03
1016,Livro - O Poder do Hábito,Livros,1,39.90,Pix,Sudeste,9423243,04/02/24
1503,Mochila Executiva,MODA,1,159.90,Boleto,Sul,6653055,04/12/2024
1516,Livro - O Poder do Hábito,Livros,1,39.90,,Sudeste,8530778,2024-09-30
1345,Tênis de Corrida,ESPORTE,1,259.90,Cartão de Débito,Sudeste,3519024,15-04-2024
1296,Carregador Portátil,ELETRÔNICOS,2,"R$ 79,90",Pix,Norte,5631305,22/02/24
1625,Smartwatch Fit,Eletronicos,2,"R$ 349,90",Pix,Sul,4933988,14/07/24
1091,Jogo de Panelas,Casa e Decoração,3,"R$ 189,90",Cartão de Débito,Sul,6942101,08-07-2024
1282,Bicicleta Ergométrica,ESPORTE,2,899.90,Cartão de Crédito,Centro-Oeste,1568514,2024-04-30
1087,Smartwatch Fit,eletronicos,1,349.90,Cartão de Débito,Norte,6992092,12/12/2024
1445,Tênis de Corrida,esporte,1,259.90,Cartão de Crédito,Centro-Oeste,9531983,2024-07-20
1326,Livro - O Poder do Hábito, Livros,2,"R$ 39,90",Cartão de Débito,Nordeste,6953845,2024-10-14
1476,Camiseta Básica,moda,1,49.90,,Nordeste,3347787,2024-09-04
1024,Luminária de Mesa,Casa e decoração ,1,"R$ 89,90",Pix,Centro-Oeste,6180951,15/05/2024
1041,Mochila Executiva,moda,1,159.90,Cartão de Crédito,Centro-Oeste,4585180,01/12/24
1318,Livro - Hábitos Atômicos,livros,1,44.90,Cartão de Débito,Nordeste,7319706,24/07/24
1619,Camiseta Básica, Moda,3,49.90,,Norte,8208054,08/09/2024
1517,Livro - O Poder do Hábito,livros,1,"R$ 39,90",Cartão de Crédito,Nordeste,8970086,22/12/24
1351,Luminária de Mesa,CASA E DECORAÇÃO,2,89.90,Boleto,Nordeste,,2024-05-31
1135,Jogo de Panelas,CASA E DECORAÇÃO,2,"R$ 189,90",Boleto,Nordeste,6848882,30-08-2024
1006,Bicicleta Ergométrica,esporte,3,899.90,Cartão de Crédito,Sul,1525824,15-06-2024
1086,Bicicleta Ergométrica, Esporte ,2,899.90,Boleto,Nordeste,8894990,13-09-2024
1139,Fone de Ouvido Bluetooth,Eletrônicos,3,129.90,Boleto,Sudeste,3339869,22/11/24
1330,Livro - O Poder do Hábito,livros,2,39.90,Cartão de Crédito,Norte,8091858,2024-01-03
1617,Fone de Ouvido Bluetooth,eletronicos,2,129.90,Cartão de Débito,Nordeste,5312627,23-05-2024
1383,Carregador Portátil, Eletrônicos ,3,79.90,Cartão de Débito,Sul,6565984,14/08/24
1251,Tênis de Corrida,esporte,1,259.90,Cartão de Crédito,Sul,9872354,04/01/2024
1000,Livro - O Poder do Hábito,Livros,1,"R$ 39,90",Boleto,Sudeste,9935089,20/05/2024
1176,Carregador Portátil, Eletrônicos ,2,79.90,Cartão de Débito,Norte,4578780,25/12/2024
1489,Livro - O Poder do Hábito, Livros,2,39.90,Cartão de Crédito,Norte,9362413,25-06-2024
1108,Jogo de Panelas,Casa e decoração ,1,189.90,Cartão de Débito,Sul,3116389,2024-01-04
1051,Jogo de Panelas,Casa e Decoração,2,189.90,Cartão de Débito,Centro-Oeste,4249077,2024-01-14
1412,Smartwatch Fit,Eletronicos,2,"R$ 349,90",Pix,Centro-Oeste,1206124,2024-04-02
1110,Smartwatch Fit,ELETRÔNICOS,1,"R$ 349,90",Cartão de Débito,Nordeste,2443447,2024-06-15
1278,Carregador Portátil,Eletronicos,2,,Cartão de Crédito,Centro-Oeste,2435301,19/03/24
1066,Jogo de Panelas,CASA E DECORAÇÃO,1,189.90,Cartão de Débito,Nordeste,9199552,27/08/2024
1328,Jogo de Panelas,Casa e decoração ,3,"R$ 189,90",Boleto,Centro-Oeste,3301841,24/02/24
1407,Luminária de Mesa,CASA E DECORAÇÃO,2,"R$ 89,90",Cartão de Débito,Sul,9464782,22-04-2024
1601,Fone de Ouvido Bluetooth,Eletrônicos,3,"R$ 129,90",Cartão de Débito,Nordeste,6945924,09/12/2024
1024,Luminária de Mesa,Casa e decoração ,1,"R$ 89,90",Pix,Centro-Oeste,6180951,15/05/2024
1634,Carregador Portátil, Eletrônicos ,3,79.90,Cartão de Débito,Nordeste,2435128,2024-12-10
1120,Smartwatch Fit, Eletrônicos ,2,349.90,,Sul,9624095,11/07/24
1009,Livro - O Poder do Hábito,LIVROS,2,"R$ 39,90",Cartão de Débito,Norte,5119994,02/02/2024
1054,Cafeteira Elétrica,CASA E DECORAÇÃO,2,"R$ 219,90",Boleto,Sudeste,5569902,30/10/24
1177,Livro - Hábitos Atômicos,Livros,2,"R$ 44,90",Boleto,Norte,9792153,27/02/24
1270,Mochila Executiva,MODA,3,"R$ 159,90",Pix,Sul,3872387,11-06-2024
1245,Bicicleta Ergométrica, Esporte ,1,"R$ 899,90",Pix,Sudeste,1480343,09-07-2024
1584,Camiseta Básica, Moda,1,"R$ 49,90",Pix,Centro-Oeste,2594438,25-10-2024
1097,Carregador Portátil,Eletrônicos,3,79.90,Cartão de Débito,Sudeste,1996490,03/12/24
1384,Cafeteira Elétrica,Casa e Decoração,1,"R$ 219,90",Boleto,Sul,6172422,04/02/2024
1352,Mochila Executiva,Moda,1,159.90,Pix,Sul,7760927,2024-04-17
1579,Bicicleta Ergométrica,ESPORTE,2,"R$ 899,90",Cartão de Débito,Centro-Oeste,9270267,13/04/2024
1210,Tênis de Corrida,esporte,3,"R$ 259,90",Cartão de Débito,Sul,8183816,08/10/2024
1011,Bicicleta Ergométrica,Esporte,3,899.90,Boleto,Sul,7126780,01/06/2024
1562,Livro - Hábitos Atômicos,Livros,1,44.90,Cartão de Crédito,Norte,4175784,29/05/2024
1347,Camiseta Básica, Moda,2,49.90,Boleto,Nordeste,,06/02/24
1590,Carregador Portátil, Eletrônicos ,1,79.90,Cartão de Débito,Centro-Oeste,4436355,04-02-2024
1259,Tênis de Corrida,esporte,1,"R$ 259,90",Cartão de Crédito,Norte,5240939,24/07/2024
1524,Camiseta Básica,MODA,1,"R$ 49,90",Boleto,Centro-Oeste,4991947,2024-12-22
1276,Fone de Ouvido Bluetooth,Eletrônicos,1,129.90,Cartão de Débito,Norte,9849271,15-04-2024
1493,Camiseta Básica,Moda,1,49.90,Cartão de Débito,Norte,7974638,24/11/24
1581,Smartwatch Fit,ELETRÔNICOS,2,349.90,Cartão de Débito,Centro-Oeste,1589033,10-06-2024
1127,Tênis de Corrida,ESPORTE,1,,Cartão de Débito,Norte,7126241,14/01/2024
1189,Livro - Hábitos Atômicos, Livros,1,44.90,Cartão de Crédito,Centro-Oeste,4974712,2024-04-18
1002,Mochila Executiva, Moda,1,"R$ 159,90",Pix,Sudeste,2519389,20-03-2024
1381,Luminária de Mesa,Casa e Decoração,1,"R$ 89,90",Pix,Nordeste,5530231,2024-10-08
1293,Livro - O Poder do Hábito,livros,1,39.90,Cartão de Crédito,Sudeste,8767933,2024-11-29
1436,Carregador Portátil,Eletrônicos,1,79.90,Pix,Nordeste,4120328,09/12/2024
1114,Carregador Portátil,Eletrônicos,1,"R$ 79,90",Cartão de Débito,Centro-Oeste,1616058,16-09-2024
1144,Livro - O Poder do Hábito,livros,1,"R$ 39,90",Boleto,Sul,4878809,17-09-2024
1342,Carregador Portátil,Eletronicos,2,79.90,Cartão de Crédito,Sudeste,6668456,2024-10-14
1065,Jogo de Panelas,casa e decoracao,2,189.90,Boleto,Nordeste,3330073,28-02-2024
1586,Tênis de Corrida,esporte,1,"R$ 259,90",Cartão de Crédito,Sudeste,,27/11/2024
1550,Camiseta Básica, Moda,1,49.90,Cartão de Débito,Sul,8504950,13/01/2024
1125,Livro - Hábitos Atômicos,Livros,3,44.90,Pix,Sudeste,3626279,2024-09-21
1126,Tênis de Corrida,ESPORTE,1,259.90,Cartão de Débito,Norte,7126241,14/01/2024
1341,Bicicleta Ergométrica,Esporte,2,899.90,Cartão de Débito,Sudeste,6724226,22-03-2024
1279,Livro - O Poder do Hábito, Livros,1,39.90,Pix,Centro-Oeste,8715500,30-08-2024
1286,Livro - O Poder do Hábito,LIVROS,2,39.90,Boleto,Nordeste,7602147,07/11/24
1536,Mochila Executiva,Moda,1,159.90,Cartão de Crédito,Centro-Oeste,9701403,28/08/2024
1357,Livro - O Poder do Hábito,Livros,1,39.90,Boleto,Nordeste,2252744,12/03/2024
1462,Smartwatch Fit,ELETRÔNICOS,1,349.90,Boleto,Centro-Oeste,6901953,23-03-2024
1093,Camiseta Básica,moda,1,"R$ 49,90",Boleto,Sul,6383792,10/10/2024
1300,Carregador Portátil,eletronicos,1,79.90,Cartão de Débito,Nordeste,9311307,2024-04-23
1181,Livro - O Poder do Hábito,livros,3,"R$ 39,90",Cartão de Débito,Norte,3086745,27/06/2024
1424,Livro - Hábitos Atômicos,LIVROS,1,"R$ 44,90",Pix,Norte,1666751,28-12-2024
1161,Fone de Ouvido Bluetooth,Eletronicos,3,"R$ 129,90",Cartão de Débito,Nordeste,7861155,2024-02-26
1521,Smartwatch Fit,Eletrônicos,3,349.90,Cartão de Crédito,Centro-Oeste,1750248,2024-03-13
1238,Camiseta Básica,moda,1,"R$ 49,90",Pix,Sudeste,5942210,2024-11-26
1235,Tênis de Corrida,ESPORTE,1,259.90,Cartão de Crédito,Centro-Oeste,3165489,05/01/24
1073,Luminária de Mesa,Casa e decoração ,2,89.90,Boleto,Centro-Oeste,3369392,2024-09-04
1272,Tênis de Corrida, Esporte ,1,259.90,Cartão de Crédito,Nordeste,8317011,2024-03-26
1569,Tênis de Corrida,esporte,1,"R$ 259,90",Cartão de Crédito,Sul,5544971,09-12-2024
1490,Fone de Ouvido Bluetooth,Eletrônicos,3,129.90,Pix,Sudeste,5623886,13/10/24
1500,Fone de Ouvido Bluetooth,ELETRÔNICOS,2,129.90,Pix,Norte,1447293,2024-03-27
1518,Tênis de Corrida,Esporte,3,"R$ 259,90",Cartão de Débito,Sudeste,9856658,30/10/24
1477,Luminária de Mesa,Casa e Decoração,1,89.90,Cartão de Crédito,Nordeste,8649910,08-06-2024
1194,Livro - O Poder do Hábito,Livros,2,39.90,Cartão de Crédito,Sudeste,1104422,2024-01-18
1236,Smartwatch Fit, Eletrônicos ,1,"R$ 349,90",Boleto,Sul,2120543,2024-06-02
1452,Tênis de Corrida,esporte,1,"R$ 259,90",Cartão de Débito,Norte,9027704,03/02/24
1321,Livro - Hábitos Atômicos,Livros,3,44.90,Cartão de Débito,Sudeste,,07-03-2024
1254,Tênis de Corrida,ESPORTE,3,259.90,Cartão de Crédito,Norte,2565517,09/07/24
1402,Mochila Executiva, Moda,1,159.90,Cartão de Débito,Sul,3150539,06/05/2024
1350,Luminária de Mesa,CASA E DECORAÇÃO,2,89.90,Boleto,Nordeste,7113980,2024-05-31
1033,Tênis de Corrida,esporte,2,"R$ 259,90",Boleto,Sul,1387675,28-06-2024
1271,Luminária de Mesa,CASA E DECORAÇÃO,2,"R$ 89,90",Pix,Norte,4619654,17/01/24
1408,Jogo de Panelas,CASA E DECORAÇÃO,1,"R$ 189,90",Pix,Sudeste,8460632,05/02/24
1574,Mochila Executiva,moda,1,159.90,Pix,Sul,1209690,31/08/2024
1023,Tênis de Corrida,ESPORTE,1,"R$ 259,90",Cartão de Crédito,Norte,2343429,18-10-2024
1454,Fone de Ouvido Bluetooth,eletronicos,2,"R$ 129,90",Cartão de Crédito,Norte,7347528,02/10/2024
1021,Cafeteira Elétrica,Casa e decoração ,2,219.90,Cartão de Débito,Sul,4111303,22/12/2024
1430,Camiseta Básica,moda,1,49.90,Boleto,Sul,5198830,06/07/24
1094,Camiseta Básica, Moda,1,49.90,Cartão de Crédito,Sul,1243366,2024-02-26
1387,Smartwatch Fit,Eletrônicos,1,349.90,Cartão de Débito,Norte,1108782,12/12/2024
1313,Jogo de Panelas,Casa e Decoração,1,"R$ 189,90",Boleto,Nordeste,9571996,11/09/24
1227,Bicicleta Ergométrica, Esporte ,2,"R$ 899,90",Pix,Nordeste,5380975,02/10/2024
1537,Bicicleta Ergométrica,Esporte,3,899.90,Boleto,Nordeste,5846244,27/07/2024
1192,Luminária de Mesa,CASA E DECORAÇÃO,1,"R$ 89,90",Boleto,Centro-Oeste,5026511,19-03-2024
1107,Livro - O Poder do Hábito,LIVROS,2,"R$ 39,90",Boleto,Centro-Oeste,1897007,2024-12-07
1504,Cafeteira Elétrica,Casa e decoração ,2,"R$ 219,90",Cartão de Débito,Centro-Oeste,5302148,29/09/24
1599,Smartwatch Fit, Eletrônicos ,2,349.90,Boleto,Nordeste,3374371,04-08-2024
1537,Bicicleta Ergométrica,Esporte,3,899.90,Boleto,Nordeste,5846244,27/07/2024
1229,Cafeteira Elétrica,casa e decoracao,2,"R$ 219,90",Cartão de Débito,Centro-Oeste,8405077,19/11/2024
1441,Tênis de Corrida, Esporte ,1,259.90,Cartão de Crédito,Sudeste,,26-08-2024
1099,Jogo de Panelas,CASA E DECORAÇÃO,2,189.90,Cartão de Crédito,Norte,4522440,2024-11-05
1079,Jogo de Panelas,casa e decoracao,3,189.90,Cartão de Crédito,Sudeste,8269170,16/02/2024
1275,Mochila Executiva,moda,3,159.90,Cartão de Crédito,Nordeste,8909721,2024-02-08
1404,Carregador Portátil,ELETRÔNICOS,2,79.90,Pix,Nordeste,8891552,23/11/2024
1606,Livro - O Poder do Hábito,livros,3,39.90,Boleto,Sudeste,7564204,15-08-2024
1248,Fone de Ouvido Bluetooth,Eletronicos,3,129.90,Pix,Sul,7819937,01-12-2024
1596,Smartwatch Fit, Eletrônicos ,2,349.90,Cartão de Débito,Nordeste,2479406,2024-06-01
1174,Jogo de Panelas,Casa e decoração ,1,189.90,Cartão de Crédito,Nordeste,6890709,25/10/2024
1298,Carregador Portátil,ELETRÔNICOS,3,79.90,Cartão de Crédito,Centro-Oeste,5843265,12/06/24
1627,Livro - Hábitos Atômicos,Livros,1,"R$ 44,90",Cartão de Débito,Centro-Oeste,8805274,19/09/24
1304,Camiseta Básica,Moda,2,49.90,Boleto,Nordeste,1950004,2024-06-19
1456,Camiseta Básica,moda,2,"R$ 49,90",Cartão de Crédito,Sul,8433604,2024-07-30
1043,Cafeteira Elétrica,CASA E DECORAÇÃO,1,219.90,Pix,Norte,8939641,06/05/24
1131,Livro - O Poder do Hábito,Livros,2,"R$ 39,90",Cartão de Crédito,Centro-Oeste,8702044,03-07-2024
1163,Bicicleta Ergométrica, Esporte ,3,899.90,Pix,Norte,8932196,14-12-2024
1374,Livro - Hábitos Atômicos,LIVROS,1,"R$ 44,90",Pix,Nordeste,9783433,24-02-2024
1434,Mochila Executiva,moda,1,"R$ 159,90",Cartão de Crédito,Norte,7540268,21/06/24
1124,Livro - O Poder do Hábito,LIVROS,2,39.90,Cartão de Débito,Sul,4271820,24-05-2024
1117,Mochila Executiva,MODA,1,159.90,Pix,Sudeste,6401096,13/12/24
1186,Mochila Executiva,MODA,1,"R$ 159,90",Cartão de Débito,Sul,4692307,2024-06-02
1559,Livro - O Poder do Hábito,LIVROS,1,39.90,Pix,Centro-Oeste,3938503,2024-11-30
1128,Luminária de Mesa,Casa e decoração ,1,"R$ 89,90",Cartão de Débito,Sul,8685459,11/03/2024
1502,Camiseta Básica, Moda,3,49.90,Cartão de Crédito,Nordeste,2382990,2024-04-30
1012,Smartwatch Fit, Eletrônicos ,1,"R$ 349,90",Cartão de Crédito,Sudeste,8962835,2024-05-02
1421,Bicicleta Ergométrica,ESPORTE,1,899.90,Boleto,Norte,5638330,25-09-2024
1142,Smartwatch Fit, Eletrônicos ,1,349.90,Pix,Centro-Oeste,4279125,26/12/2024
1230,Luminária de Mesa,Casa e decoração ,2,"R$ 89,90",Cartão de Crédito,Sudeste,8511650,06-09-2024
1583,Bicicleta Ergométrica,Esporte,2,899.90,Cartão de Débito,Norte,6779784,14-05-2024
1046,Jogo de Panelas,CASA E DECORAÇÃO,2,189.90,Boleto,Centro-Oeste,4595279,02/10/2024
1620,Camiseta Básica,MODA,2,49.90,Cartão de Débito,Sudeste,8233365,29/02/24
1212,Mochila Executiva,MODA,2,159.90,Pix,Norte,2392111,19-01-2024
1159,Bicicleta Ergométrica,ESPORTE,3,"R$ 899,90",Cartão de Crédito,Nordeste,6427689,15/10/24
1327,Carregador Portátil,Eletronicos,2,"R$ 79,90",Cartão de Débito,Sudeste,2596777,02/12/2024
1334,Carregador Portátil,Eletronicos,3,79.90,Pix,Centro-Oeste,1209535,29/12/24
1432,Livro - Hábitos Atômicos, Livros,2,44.90,Cartão de Crédito,Sul,1187649,01/08/24
1076,Luminária de Mesa,CASA E DECORAÇÃO,2,89.90,Boleto,Centro-Oeste,1606129,05-12-2024
1322,Bicicleta Ergométrica,esporte,3,899.90,Cartão de Crédito,Centro-Oeste,5072493,22/06/24
1191,Luminária de Mesa,CASA E DECORAÇÃO,1,"R$ 89,90",Cartão de Débito,Sudeste,4625759,14-04-2024
1196,Jogo de Panelas,Casa e decoração ,1,189.90,Cartão de Débito,Sul,2753940,2024-09-14
1467,Cafeteira Elétrica,Casa e Decoração,3,219.90,Cartão de Débito,Centro-Oeste,1745341,2024-04-16
1141,Carregador Portátil,eletronicos,2,"R$ 79,90",Pix,Sul,2858026,06/07/24
1510,Smartwatch Fit,ELETRÔNICOS,1,349.90,Pix,Nordeste,3653799,06/08/2024
1491,Livro - Hábitos Atômicos,LIVROS,2,44.90,Boleto,Sul,8780142,14/07/24
1530,Bicicleta Ergométrica,esporte,1,899.90,Cartão de Crédito,Sudeste,4855738,15-01-2024
1244,Mochila Executiva,Moda,2,159.90,Pix,Sul,2956012,09/11/2024
1553,Carregador Portátil,eletronicos,2,"R$ 79,90",Pix,Sul,1369085,26/09/24
1621,Luminária de Mesa,casa e decoracao,1,"R$ 89,90",Pix,Sul,3757767,27-06-2024
1344,Livro - O Poder do Hábito,livros,1,"R$ 39,90",Cartão de Crédito,Sul,9814546,20/09/2024
1182,Cafeteira Elétrica,CASA E DECORAÇÃO,2,219.90,Boleto,Centro-Oeste,6671158,13/07/2024
1533,Camiseta Básica,Moda,3,"R$ 49,90",Boleto,Sudeste,8627469,18-10-2024
1218,Smartwatch Fit,Eletronicos,1,"R$ 349,90",Pix,Sul,8496116,01/10/24
1405,Jogo de Panelas,casa e decoracao,1,"R$ 189,90",Boleto,Nordeste,5698480,06/01/24
1466,Carregador Portátil, Eletrônicos ,1,,Cartão de Débito,Centro-Oeste,3947904,10-11-2024
1133,Livro - Hábitos Atômicos,livros,3,44.90,Pix,Sul,1726360,2024-12-02
1083,Mochila Executiva, Moda,2,159.90,Pix,Sudeste,7484281,31/05/2024
1410,Bicicleta Ergométrica,Esporte,1,"R$ 899,90",Boleto,Centro-Oeste,1134238,22/02/2024
1247,Smartwatch Fit,eletronicos,3,"R$ 349,90",Cartão de Crédito,Sul,1753483,2024-09-17
1056,Tênis de Corrida,Esporte,1,259.90,Boleto,Centro-Oeste,9041458,27/07/2024
1096,Fone de Ouvido Bluetooth,eletronicos,3,129.90,Cartão de Crédito,Centro-Oeste,8344796,03/08/2024
1531,Livro - Hábitos Atômicos,livros,1,"R$ 44,90",Boleto,Centro-Oeste,4276384,15/06/2024
1393,Smartwatch Fit, Eletrônicos ,1,349.90,Cartão de Débito,Sul,3389819,2024-10-11
,,,,,,,,
1628,Livro - Hábitos Atômicos,livros,2,44.90,Cartão de Crédito,Norte,6599996,2024-11-18
1568,Livro - O Poder do Hábito,Livros,2,39.90,Cartão de Crédito,Sudeste,5942683,01/03/2024
1281,Luminária de Mesa,Casa e Decoração,1,"R$ 89,90",Cartão de Débito,Norte,4727566,08/12/24
1306,Livro - Hábitos Atômicos,Livros,1,"R$ 44,90",Cartão de Crédito,Sul,4707710,28-09-2024
1180,Smartwatch Fit,ELETRÔNICOS,1,349.90,Boleto,Centro-Oeste,7135912,26/05/24
1213,Carregador Portátil,ELETRÔNICOS,1,"R$ 79,90",Cartão de Crédito,Nordeste,4637522,2024-08-08
1035,Fone de Ouvido Bluetooth,Eletrônicos,2,"R$ 129,90",Pix,Centro-Oeste,9379118,2024-08-10
1364,Smartwatch Fit,Eletronicos,1,349.90,Boleto,Norte,7649361,11-07-2024
1221,Mochila Executiva,MODA,1,159.90,Boleto,Norte,3733501,2024-09-06
1226,Tênis de Corrida,esporte,3,259.90,Cartão de Débito,Sul,3281803,2024-10-28
1629,Cafeteira Elétrica,Casa e Decoração,1,219.90,Cartão de Débito,Nordeste,3434130,27-08-2024
1064,Fone de Ouvido Bluetooth,ELETRÔNICOS,2,129.90,Pix,Sudeste,4792295,18/12/24
1366,Luminária de Mesa,Casa e Decoração,3,89.90,Pix,Sudeste,8889691,2024-04-27
1612,Jogo de Panelas,Casa e decoração ,3,"R$ 189,90",Cartão de Débito,Sul,4531843,2024-09-10
1167,Bicicleta Ergométrica,esporte,3,"R$ 899,90",Cartão de Débito,Nordeste,8739102,2024-04-29
1222,Fone de Ouvido Bluetooth, Eletrônicos ,1,"R$ 129,90",Cartão de Débito,Norte,9281668,05/09/24
1153,Mochila Executiva,MODA,1,159.90,Pix,Sul,3610510,22/03/24
1237,Livro - O Poder do Hábito,livros,2,39.90,Boleto,Sudeste,2646143,11/11/24
